Row Labels,Sum of price
Fodiyaer,125
Foloose,144
Footex,320.04
FootJoy,137.04
ForceRoute,98.59
forestfish,245.27
ForeverWill,116.2
Forge & Foundry,405.44
FOROO,21.18
FORSINING,332.1
Fortnite,79
FOSIR,80.18
Fosmon,25
Fossil,37681.01
FOTAP,63.21
FOUUA,73.34
FOXHACKLE,221.42
Frank S.Burton,68.2
FRCOLOR,16.31
Freaks in Motions,40
Freie Liebe,41.19
Frentree,103.25
Frienda,86
FRIO,118.27
frueo,67.73
Fruit of the Loom,3213.71
FRYE,567
FSD.WG,293
Fuinloth,62.98
Fullmosa,258.27
Funito,23
FUNKYMONKEY,37.66
FUR JADEN,81.89
FurArt,144.14
FURTALK,40
Fusefit,4354.59
FZTN Jewelry,75.51
G Gradual,142.65
G4Free,809.26
Gaiatiger,229.99
Gain The Edge,125.14
GALAXYLENSE,39.69
GANT,437
GAP,180
Gardsell,19.79
GAUEIOUR,41.42
GAVU,611.63
Gazigo,58.4
GC,1938.93
Gear,1859.24
Gear Infusion,169.59
GEARONIC,251.87
Geek-M,39
Gelante,61.28
GelConnie,55
Gemsme,146.4
Generic,10888.28
Generic Brands,39.99
GENZY,49
Geoffrey Beene,269.18
Geoomnii #fashionistas4u,97
Geox,5031.88
Gerber,236.92
GERUNSI,30.9
Getfitsoo,48.99
Geyoga,120.11
GFTBX,71.75
GFUP,16.99
GGEROU,38.7
GGOOB,219.6
GIISAM,154.14
Gildan,1311.25
GINGTTO,99.99
Ginwee,30.17
Gixugo,231
Gladdon,139.98
Glamorise,227.24
glasstore,20.14
GLATZY,65
Glemay,28.4
Glenor Co,277.56
globi,139.52
Gocokia,285.24
gofidin,30
Gold Fortune,27.27
Gold Toe,257.02
GOLDEN HOUR,189.99
Goobie Baby,153.75
Goodern,358.5
Goodstuff,17.13
Goorin Bros.,89
GORBEN,206.4
GORGLITTER,48.99
GORLYA,67.99
GOT Sports,65
Gotham,616.51
GQUEEN,61.91
Graflsoa,21.99
GraGra,36.9
Grand Attack,158.87
gratulatio,104
Green Town,134.87
GreenOlive,69
Greenpod,198
Groove Life,463.5
G-Shock,649
GSKS,47.31
GSOIAX,109.91
G-STAR,874
GT collection,1748
Gtand,252
GTVGJH,17
GT-WHEEL,595
GUESS,81513.59
GWD,92.23
GXXGE,55.14
gzcz,111.15
H&Beautimer,632.9
Hafrita,123.26
Haggar,1012.4
Hahamiya,95.28
Haiou,29
HAIXIAN,68.74
halamodo,162.49
Halemet,288.9
Halo Headband,122.94
Halukakah,136.41
HAMIQI,115
Hamkaw,27
HammerSmith,1144.61
HAMMONDS FLYCATCHER,915.69
Hamoery,206.42
Hanes,4406.63
Hannea,25.99
Hannibal Tactical,129.3
HAODEE,
HAOGUAGUA,88.9
Haoxi,30.65
HappyDavid,80.27
Harroo,59.09
Haute Hijab,36.99
Havaianas,3198.05
HaveLovely,53.98
Hawanik,78.94
HAWEE,137.47
Hawkwell,112
HAWSON,424.03
HAZARA,90.78
HBSTUDIO,39.99
HEAD,42.2
Heatwave Thermalwear,132.12
Hebetag,311.78
Heelium,292.2
HEGALY,50
HEGCOIIE,15
Hekyip,75
hello basics,116.69
Helly Hansen,817.31
HELZOI,68.13
Hemobllo,104.79
hemsut h,77.63
HEMUDU,765.11
HENGMINGTAI,141.56
HENSE,64.73
HEROBIKER,240
Herschel,6202.96
HESHE,245.27
HESIEU,50
Hey Yoo,184.49
HEYOZURY,102.14
HHZ,138.37
Hibate,152.61
Hicarer,62.3
Hidds,218
Hide & Drink,150.7
High Sierra,1588.3
HIGHLAND TACTICAL,610
Hijiawee,38.7
Hikevitang,156
Hillban,36.45
Hilufiet,42.11
Himawari,210
HINDAWI,31.55
HIQUAY,49.99
Hiram,175.59
HISCOW,272
HISKYWIN,116.69
HKCLUF,297
HKIDKK,552.37
HLLMAN,83.17
HOBIBEAR,119
HOCRES,130.14
HOKA,597.52
Homarket,495.62
Home Prefer,119.85
Hommtina,29
HommyFine,316.65
Honalika,106
HONEY BEAR,836.4
HONGCAIHU,65.48
HonorHut,112.99
HOOTO,240.38
HOPHO,30
HORISUN,105
Hornbull,826.65
Hot Wheels,135.63
HOTCOOL,54.08
Hotshawl,30
HOUNDSBAY,170.05
House of Jack Co.,405.32
House of Quirk,67.9
HOZEAL,28
HP,107.99
HSYZZY,49.99
HUALEENA,157.47
HUAWEI,41
Hublot,26000
HUGE SPORTS,223.48
HUGH BUTLER,292.33
HUGO,2783.23
Hugo Boss,1442.98
HUJINGLS,34.88
HUK,165.25
HULALA,71.47
HULG,31.09
HUNDRED,219.99
Hurley,33.65
Hush Puppies,730
Huture,60
Huztencor,237.46
HVOMO,20
HXA,152.23
hxusin,26.09
HYRAINBOW,127.64
HYUERI,19.99
HZMAN,968.93
I IHAYNER,69
ICE STAR,107.88
icebreaker,158.21
ICE-WATCH,115.02
I-CLIP,470.18
ICONIC,38.82
iCozzier,189.97
icyzone,189.99
Ideaspace,85
IEOVIEE,16.19
Iioscre,35
Ikea,74.15
ILLIMITE,599.75
Indigo,178.59
Inertop,10.5
Inese,155.9
INF,25
Infinity,199.82
infino,159.8
INK+IVY,91.65
INSEA,171
INSFIT,32.99
Inter,188.67
Intimate Portal,41
Invicta,6043.14
IODSON,222.97
IOYYIO,130.96
Ipanema,35.86
IQEPXTGO,71.3
iQIBLA,40.1
Iqimott,140.79
IS MUHE,125
Isle Locada by Hidesign,3134.91
isotoner,54.32
iStrap,192.55
iSuperb,49.22
Iswee,622.46
Itslife,78
IUAQDP,8
Ivyhouse,21.5
iwantit,135.49
IZIPIZI,181.05
izuzta,15.9
J World New York,1796.53
J.Endéar,111.02
J.Rosée,887.39
J.VER,89
jaald,327
JACK & JONES,11121.66
Jadive,51.25
jaexest,56
Jahomieo,76.86
JANDY SHINE,269.06
Janmercy,39.37
JANSPORT,14027.93
Japam,180
Jarlinwel,126.6
Jatipy,35.81
JAZD,36.36
JBW,1045.73
JCB,105.07
Jcx,89
JczR.Y,53.96
JEEHAN,329
Jefferies Socks,271.11
Jeilwiy,115.88
Jeka,170.62
Jekyll and Hide,302.75
JEMITOP,76
JENOSSCOM,385.36
Jeracol,102.96
Jerzees,294.2
Jessica McClintock,104
jessie,310.43
Jetec,48.22
Jewelry Kingdom 1,90.31
JewelryWe,111.64
JEYORZY,80.32
JFYZLT,40
JHVYF,54.42
JHYWELL,92.42
Jiaayuell,99.36
jiamiaoi,150.98
JIAYU,23.9
JIEANTE,68.47
jiesinlov,21.1
JIJIe,84.97
JILANI HANDICRAFT,112.4
Jimmy Choo,624.98
JINDELI,172.21
JINMANXUE,320.68
JINX,136.99
JIVIMOCO,59.07
Jockey,2452.18
Jogold,242
Joleritc,49.38
Joma,98.84
JONYEE,18
Joodax,28.8
Joopin,193.75
Jordan,263.63
JORMATT,29
Jorunb,28.99
Joshua Tree,95.04
JOTO,53.08
Jovivi,470.9
JOWILIN,23.9
Joxevyia,256.88
JoycuFF,95.2
JOYSPELS,125
Joyzzz,73.15
JQAliMOVV,84.06
JQWSVE,211.94
JQWYGB,41
Jstyle,110.9
JUANALINE,34.67
Jueachy,209.98
Juicy Couture,268.17
Juntan,199.07
JUNVirtuous,52.25
Juoxeepy,283.07
Jusavie,45
Just Cavalli,1156
JW PEI,7065.37
JWNSPA,28.19
JZS,104.48
K London,257.58
KAERDIYA,82
Kaiderine,53.97
KAILUA SURF,97.85
KALIDI,87.6
KALIDI FANCY FOREST,306.34
KALIONE,52
Kalon,117.57
KAMASATO,28.98
KAMIU,107.88
KANASTAL,331.66
Kanu Surf,166.14
Kappa,174
Kaps,117.95
Karl Keller,210.42
KARL LAGERFELD,1547.12
Karlling,29.13
KART BLACK,60
Karysatle,105.99
KASTWAVE,5067.82
Katloo,200
Kattee,115.2
Kayil,78
K-CHEONY,37.99
Kedofe,61.33
Keds,156.87
KEEN,1358
KEEPSHOWING,175
KEEZMZ,126.57
kelistom,91.46
Kememo,105.09
Kenneth Cole,1110.1
Kenneth Cole REACTION,2478.4
Kenneth Scott,192
kensie,771.33
KEOYA,94.99
Keqin,55.99
ketryep,155.02
Kevisae,134.91
Kewlioo,89.99
KeySmart,79.36
KeyStyle,172.76
keywins,71.98
KF-Premium,74.48
KGYMJR,44.98
Khazna,568.98
KHZBS,69.9
Kicty,95
KIDYBO,111.33
KILAMAL,137.68
kilofly,94.58
Kim Carrey,50.06
King Will,940.15
kinzd,61
Kipling,15294.05
kissun,387.99
KissYan,120.52
KIWI,21.4
KK CRAFTS,98.49
Klmsscxy,45
KM Legend,40
Knighthood,213.33
KO:LN,135.1
KOCLES,28.67
kofoviv,64.6
KOPNHAGN,26.21
KOTON,51
KOTTY,41
Kouxunt,145.49
KOWVOWZ,214.61
KPYWZER,339.83
KRAVE,2085.73
KROSER,1942
KROYWEN,56
KRZ,573.5
Kumeng,23
Kurt,66.18
Kuston,171.98
KUTONTECH,17.99
KWSLIN,127.8
KWUNCCI,123.56
Kyayili,32
L&E,32.75
LA SPORTIVA,576.39
Lässig,299.08
Lacdo,196.98
Lacoste,28428.19
LACZ DENTON,825.79
LADYBRO,151.41
Lahviuu,61.24
Lalent,64.24
LALESTE,106.66
Lamyba,93.59
Langthering,32.99
LANSHIYA,116.15
LANWLOSI,52.25
Lanzom,45.99
LAORENTOU,1674.94
Larcenciel,59
lasenersm,50.52
Lataly,99
Lattd,157.98
Lavie,182
Lavie Sport,60.78
Lavnis,165.98
LBOYLOVE,439.78
LCARKOM,100
LCHYG,22
LCLALAY,80.99
L-COOL,77
LDERFIV,24.06
Leader Sport,32.5
LEDAOU,171.86
Lederprinz,64.08
Ledger,2432
Lee,2402.15
Lee Cooper,223.31
Lee Uniforms,115.31
Legendary Whitetails,92.68
LEGO,262.76
LEICHR,99
Lenovo,346.65
leotruny,173.17
LEOVANI,198
LEVEL8,1997.98
LEVELO,79.02
Levi's,4354.86
Lewis N. Clark,504
Lgtfy,34.38
Liberty,471.49
Liberty Imports,762.16
Liberty Pro,157.94
Lico,137.54
LIEBLICH,79.08
LIENJAER,18
LifeBalance,128.99
LifeStride,627.03
LIFETIME JEWELRY,470.24
Lifeventure,219.1
LIGHT FOLD,96
Light House,46.55
LIHITLAB,200.42
Lilo and Stitch,62
LIMOS,55
LI-NING,192.87
Linkidea,59.9
LIODUX,578
lionpaul,50
Liquid Blue,31.49
Liu & Qu,76.13
Liumrlte,43.9
livbote,37.9
LIWEGHT,411.41
Lizbin,157.21
Lkwidi,46
LLSOARSS,129.99
LNFINTDO,177.98
LNLN,190
LOBON,130.64
LOCK LACES,39
LODAY,69.99
LONDON ALLEY,210.91
Long Keeper,203.56
Longies,611.44
Lonimia,89.98
Loopbelt,57.4
LORENZ,59
Lorui,25
LOTUS,394.15
LOUIS DEVIN,103
Lovdazzles,59.79
Love Moschino,7050.5
Lovearing,135.32
LovePlus,192.68
Lover-Beauty,48.6
LOVEVOOK,979.87
LPBeads,51
LQZHBDWZ,35
L-RUN,310.56
Luck Strings,69.79
Luckin Packin,196.86
Lugz,745.9
Lullaxx,188.95
Lumesner,544.86
Luminox,2726.21
Luncpcihe,22.49
Lusead,61.79
LUUFAN,399.76
LUXAR,108.87
LUYAO,15.99
Lviefent,13.75
LXNMGO,71.34
LXY,461.94
LYAART,15
LYANER,59.12
LYDZTION,14.9
LYLYMYKHH,102.97
Lymio,394.55
LYNSAY,30
LYSMVIVI,25.41
LZQpearl,100
M & F,188.86
M Menmentings,77.4
M MOOHAM,222.29
M X M,103.9
MAAWO,36
MABROUC,50
MagEnergy,235.76
MagnetRX,156.36
Magpul,195.75
MahMir,42.45
MAIITRIP,262.46
MakingDa,88.94
MAKINGTEC,1525.53
Makukke,145.18
Mala Leather,117.27
Mama Cotton,112.52
MANBANG,198
MANCHESTER CITY,113.73
Mancini,393.07
Manfrotto,340
MANSDOUR,120
MANZI,15.5
Marc Jacobs,604.78
MARGOUN,68.2
MARK RYDEN,1300.25
Marvel,660.63
MARVEL THE AVENGERS,36.45
MARY FRANCES,489
Maserati,6814.25
Mataly,51.64
MATEIN,560
Mathey-Tissot,404.1
Maui Jim,5451.31
Maxdot,12.25
Maxpedition,1291.51
MayiaHey,86.54
MCICI,79
McMola,28.97
MCWTH,38.99
MCXGL,187.16
MEDICINE RX SAFE,115
MEEGIRL,38.8
MEENAKARI HERITAGE JEWELLERY,115.3
MEENAZ,93.85
Meetbelify,512.3
MEETYOO,213
MEGALITH,380.77
MEISEE,39.9
MELERIO,84.99
Melsbrinna,18.86
MEMGIFT,178.8
Merino Summit,169.13
MEROKEETY,389.77
Merrell,51.44
MERTTURM,85.98
Metallica,99.77
Metermall,49.8
MF MINI FOCUS,193.78
Miabella,338.42
MIBANDERA,62.16
Michael Kors,44229.92
Michooyel,108.73
MICOHPKLE,35.56
mifengda,72
MIFULGOO,22.66
mighty wallet,103.87
Mihawk,183.68
MILACOLATO,127.12
Mildame,202.54
Milk Moo Soft Cuddles,258
Milorde,85
Minecraft,825.92
Minelife,18
MING CLAN,153.43
Minibee,261
MINILUJIA,204.79
MINISO,10.5
MINZA,110
Misha,100
Miss Chipmunk,148.4
MISS OLIVE,3822.06
MITOWERMI,603.09
Miurixo,142.33
MIXDE,13.26
miyozi,145
Mizuno,281.82
MJust,52
MKF Collection,254.79
MKP COLLECTION,329
Modern Carry,78.76
Modoker,181.28
